City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,umzimvubu,-45.8378,41.5295,8.4,64,55,13.28,Unknown,1675898320
326,puerto leguizamo,0.1946,-74.4955,27.06,65,61,0.98,CO,1675898320
327,haizhou,34.8376,118.9728,3.1,79,100,4.13,CN,1675898320
328,talnakh,70.4957,89.9291,-26.89,92,85,1.58,RU,1675898321
329,san rafael,12.9528,122.8966,24.62,78,98,4.66,PH,1675898321
330,moose factory,52.1296,-81.2066,-19.86,93,24,2.0,CA,1675898321
331,gamba,-6.6781,4.3972,26.83,77,100,4.71,Unknown,1675898322
332,chumikan,53.9707,134.4155,-31.95,87,25,2.88,RU,1675898322
333,vao,-22.9936,169.2447,26.3,80,100,7.55,Unknown,1675898322
334,camargo,-20.0364,-64.766,5.61,87,94,1.92,BO,1675898323
335,churapcha,64.4502,132.9178,-40.03,100,99,0.18,RU,1675898323
336,pangai,-19.9954,-172.7394,27.31,77,93,3.14,Unknown,1675898323
337,nizhneyansk,73.4503,137.0307,-28.7,99,100,2.94,Unknown,1675898323
338,ler,8.2904,30.9226,25.61,16,19,4.11,SS,1675898324
339,landazuri,6.2386,-73.8493,26.92,74,79,0.68,CO,1675898324
340,sharan,32.0732,68.0093,3.19,88,88,6.84,AF,1675898324
341,coffs harbour,-30.4222,155.2514,22.78,70,3,5.11,Unknown,1675898325
342,verkh-tula,54.8515,82.7433,-25.22,84,40,0.0,RU,1675898325
343,negombo,7.4442,79.4257,25.71,82,86,8.53,LK,1675898325
344,dundwaraganj,27.7926,79.0789,12.49,46,0,3.71,IN,1675898326
345,vila franca do campo,45.5214,-20.4243,10.28,66,66,0.94,Unknown,1675898326
346,chifeng,43.7201,119.8888,-9.11,60,100,2.28,CN,1675898326
347,loudi,28.0146,112.2112,7.77,93,100,2.76,CN,1675898327
348,almaty,42.7929,76.4396,-8.57,56,100,2.31,KG,1675898327
349,santa fe,21.6301,-82.4767,26.1,72,13,7.71,CU,1675898327
350,khatanga,81.8199,103.2659,-30.36,95,62,7.94,Unknown,1675898327
351,athabasca,58.5392,-111.7797,-15.89,97,18,2.29,CA,1675898328
